"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"7158","NGC 7158","Nebula","–","","Capricornus","21h57m","-11°35'","",-10.4166666666667,329.25,"planetarium.addPointer({
    'ra':  329.25 ,
    'dec':  -10.4166666666667 ,
    'label': ' NGC 7158 ',
    'colour': ' rgb(0,153,0) '});",0.0578082469552942,1.73021926019218,"planetarium.addPointer({
    'ra':  329.25 ,
    'dec':  -10.4166666666667 ,
    'label': ' NGC 7158 ',
    'colour': ' rgb(0,153,0) '});"
"7161","NGC 7161","Nebula","–","","Pegasus","21h56m","+02°54'","",2.9,329,"planetarium.addPointer({
    'ra':  329 ,
    'dec':  2.9 ,
    'label': ' NGC 7161 ',
    'colour': ' rgb(0,153,0) '});",-0.299887781604822,1.03438630886097,"planetarium.addPointer({
    'ra':  329 ,
    'dec':  2.9 ,
    'label': ' NGC 7161 ',
    'colour': ' rgb(0,153,0) '});"
"7186","NGC 7186","Nebula","–","","Pegasus","22h01m","+35°04'","",35.0666666666667,330.25,"planetarium.addPointer({
    'ra':  330.25 ,
    'dec':  35.0666666666667 ,
    'label': ' NGC 7186 ',
    'colour': ' rgb(0,153,0) '});",-1.41887346142215,0.820735586655214,"planetarium.addPointer({
    'ra':  330.25 ,
    'dec':  35.0666666666667 ,
    'label': ' NGC 7186 ',
    'colour': ' rgb(0,153,0) '});"
"7238","NGC 7238","Nebula","–","","Pegasus","22h15m","+22°31'","",22.5166666666667,333.75,"planetarium.addPointer({
    'ra':  333.75 ,
    'dec':  22.5166666666667 ,
    'label': ' NGC 7238 ',
    'colour': ' rgb(0,153,0) '});",0.447599527988469,-0.490627035025104,"planetarium.addPointer({
    'ra':  333.75 ,
    'dec':  22.5166666666667 ,
    'label': ' NGC 7238 ',
    'colour': ' rgb(0,153,0) '});"
"7304","NGC 7304","Nebula","–","","Pegasus","22h31m","+30°58'","",30.9666666666667,337.75,"planetarium.addPointer({
    'ra':  337.75 ,
    'dec':  30.9666666666667 ,
    'label': ' NGC 7304 ',
    'colour': ' rgb(0,153,0) '});",-0.0527734877757329,0.0953794969469441,"planetarium.addPointer({
    'ra':  337.75 ,
    'dec':  30.9666666666667 ,
    'label': ' NGC 7304 ',
    'colour': ' rgb(0,153,0) '});"
"7352","NGC 7352","Nebula","–","","Cepheus","22h39m","+57°23'","",57.3833333333333,339.75,"planetarium.addPointer({
    'ra':  339.75 ,
    'dec':  57.3833333333333 ,
    'label': ' NGC 7352 ',
    'colour': ' rgb(0,153,0) '});",-0.239664057351372,-0.826733017188634,"planetarium.addPointer({
    'ra':  339.75 ,
    'dec':  57.3833333333333 ,
    'label': ' NGC 7352 ',
    'colour': ' rgb(0,153,0) '});"
"7447","NGC 7447","Nebula","–","","Aquarius","23h00m","-10°31'","",-9.48333333333333,345,"planetarium.addPointer({
    'ra':  345 ,
    'dec':  -9.48333333333333 ,
    'label': ' NGC 7447 ',
    'colour': ' rgb(0,153,0) '});",0.709399234590748,0.94242292131132,"planetarium.addPointer({
    'ra':  345 ,
    'dec':  -9.48333333333333 ,
    'label': ' NGC 7447 ',
    'colour': ' rgb(0,153,0) '});"
"7453","NGC 7453","Nebula","–","","Aquarius","23h01m","-06°21'","",-5.65,345.25,"planetarium.addPointer({
    'ra':  345.25 ,
    'dec':  -5.65 ,
    'label': ' NGC 7453 ',
    'colour': ' rgb(0,153,0) '});",-0.348972486619981,1.6910161492394,"planetarium.addPointer({
    'ra':  345.25 ,
    'dec':  -5.65 ,
    'label': ' NGC 7453 ',
    'colour': ' rgb(0,153,0) '});"
"7471","NGC 7471","Nebula","–","","Aquarius","23h03m","-22°54'","",-21.1,345.75,"planetarium.addPointer({
    'ra':  345.75 ,
    'dec':  -21.1 ,
    'label': ' NGC 7471 ',
    'colour': ' rgb(0,153,0) '});",0.200994493397534,2.12195568480816,"planetarium.addPointer({
    'ra':  345.75 ,
    'dec':  -21.1 ,
    'label': ' NGC 7471 ',
    'colour': ' rgb(0,153,0) '});"
"7481","NGC 7481","Nebula","–","","Aquarius","23h05m","-19°56'","",-18.0666666666667,346.25,"planetarium.addPointer({
    'ra':  346.25 ,
    'dec':  -18.0666666666667 ,
    'label': ' NGC 7481 ',
    'colour': ' rgb(0,153,0) '});",-0.241397083900114,-0.663870115910323,"planetarium.addPointer({
    'ra':  346.25 ,
    'dec':  -18.0666666666667 ,
    'label': ' NGC 7481 ',
    'colour': ' rgb(0,153,0) '});"
"7486","NGC 7486","Nebula","–","","Pegasus","23h06m","+34°06'","",34.1,346.5,"planetarium.addPointer({
    'ra':  346.5 ,
    'dec':  34.1 ,
    'label': ' NGC 7486 ',
    'colour': ' rgb(0,153,0) '});",0.938711781421418,0.710854130854919,"planetarium.addPointer({
    'ra':  346.5 ,
    'dec':  34.1 ,
    'label': ' NGC 7486 ',
    'colour': ' rgb(0,153,0) '});"
"7502","NGC 7502","Nebula","–","","Aquarius","23h10m","-21°44'","",-20.2666666666667,347.5,"planetarium.addPointer({
    'ra':  347.5 ,
    'dec':  -20.2666666666667 ,
    'label': ' NGC 7502 ',
    'colour': ' rgb(0,153,0) '});",-0.450907651894117,1.97774649692875,"planetarium.addPointer({
    'ra':  347.5 ,
    'dec':  -20.2666666666667 ,
    'label': ' NGC 7502 ',
    'colour': ' rgb(0,153,0) '});"
"7520","NGC 7520","Nebula","–","","Aquarius","23h13m","-23°47'","",-22.2166666666667,348.25,"planetarium.addPointer({
    'ra':  348.25 ,
    'dec':  -22.2166666666667 ,
    'label': ' NGC 7520 ',
    'colour': ' rgb(0,153,0) '});",-0.606061441145891,1.30459997159125,"planetarium.addPointer({
    'ra':  348.25 ,
    'dec':  -22.2166666666667 ,
    'label': ' NGC 7520 ',
    'colour': ' rgb(0,153,0) '});"
"7526","NGC 7526","Nebula","–","","Aquarius","23h14m","-09°13'","",-8.78333333333333,348.5,"planetarium.addPointer({
    'ra':  348.5 ,
    'dec':  -8.78333333333333 ,
    'label': ' NGC 7526 ',
    'colour': ' rgb(0,153,0) '});",-1.17263977145893,0.0457126021503449,"planetarium.addPointer({
    'ra':  348.5 ,
    'dec':  -8.78333333333333 ,
    'label': ' NGC 7526 ',
    'colour': ' rgb(0,153,0) '});"
"7538","NGC 7538","Nebula","–","","Cepheus","23h13m","+61°30'","",61.5,348.25,"planetarium.addPointer({
    'ra':  348.25 ,
    'dec':  61.5 ,
    'label': ' NGC 7538 ',
    'colour': ' rgb(0,153,0) '});",-0.28777084163888,1.99101807131234,"planetarium.addPointer({
    'ra':  348.25 ,
    'dec':  61.5 ,
    'label': ' NGC 7538 ',
    'colour': ' rgb(0,153,0) '});"
"7555","NGC 7555","Nebula","–","","Pegasus","23h15m","+12°34'","",12.5666666666667,348.75,"planetarium.addPointer({
    'ra':  348.75 ,
    'dec':  12.5666666666667 ,
    'label': ' NGC 7555 ',
    'colour': ' rgb(0,153,0) '});",1.06237524169515,1.76907858854295,"planetarium.addPointer({
    'ra':  348.75 ,
    'dec':  12.5666666666667 ,
    'label': ' NGC 7555 ',
    'colour': ' rgb(0,153,0) '});"
"7565","NGC 7565","Nebula","–","","Pisces","23h16m","-00°03'","",0.05,349,"planetarium.addPointer({
    'ra':  349 ,
    'dec':  0.05 ,
    'label': ' NGC 7565 ',
    'colour': ' rgb(0,153,0) '});",1.13746252693608,-0.828901812215877,"planetarium.addPointer({
    'ra':  349 ,
    'dec':  0.05 ,
    'label': ' NGC 7565 ',
    'colour': ' rgb(0,153,0) '});"
"7613","NGC 7613","Nebula","–","","Pisces","23h19m","+00°11'","",0.183333333333333,349.75,"planetarium.addPointer({
    'ra':  349.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7613 ',
    'colour': ' rgb(0,153,0) '});",0.747502116799361,0.374313075129238,"planetarium.addPointer({
    'ra':  349.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7613 ',
    'colour': ' rgb(0,153,0) '});"
"7614","NGC 7614","Nebula","–","","Pisces","23h19m","+00°11'","",0.183333333333333,349.75,"planetarium.addPointer({
    'ra':  349.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7614 ',
    'colour': ' rgb(0,153,0) '});",0.747502116799361,0.374313075129238,"planetarium.addPointer({
    'ra':  349.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7614 ',
    'colour': ' rgb(0,153,0) '});"
"7666","NGC 7666","Nebula","–","","Aquarius","23h27m","-04°11'","",-3.81666666666667,351.75,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  -3.81666666666667 ,
    'label': ' NGC 7666 ',
    'colour': ' rgb(0,153,0) '});",1.23767380524416,-0.137559616587563,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  -3.81666666666667 ,
    'label': ' NGC 7666 ',
    'colour': ' rgb(0,153,0) '});"
"7668","NGC 7668","Nebula","–","","Pisces","23h27m","-00°11'","",0.183333333333333,351.75,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7668 ',
    'colour': ' rgb(0,153,0) '});",-0.839222332872999,1.66216372668366,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7668 ',
    'colour': ' rgb(0,153,0) '});"
"7669","NGC 7669","Nebula","–","","Pisces","23h27m","-00°11'","",0.183333333333333,351.75,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7669 ',
    'colour': ' rgb(0,153,0) '});",-0.839222332872999,1.66216372668366,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7669 ',
    'colour': ' rgb(0,153,0) '});"
"7670","NGC 7670","Nebula","–","","Pisces","23h27m","-00°11'","",0.183333333333333,351.75,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7670 ',
    'colour': ' rgb(0,153,0) '});",-0.839222332872999,1.66216372668366,"planetarium.addPointer({
    'ra':  351.75 ,
    'dec':  0.183333333333333 ,
    'label': ' NGC 7670 ',
    'colour': ' rgb(0,153,0) '});"
